movie_id,title,release_date,popularity,vote_average,vote_count,has_theatrical_release,providers,director,genres,budget,main_cast,runtime,production_company_count,has_major_studio,is_franchise,release_year,release_month,is_summer_release,is_holiday_release,cast_star_power,director_popularity,vote_density,log_budget,log_votes,gt_peak,gt_auc,gt_decay,yt_views,yt_likes,yt_views_density,yt_likes_density,success_bool
1051541,Beyond Adversity,2021-06-10,4.9022,0,0,FALSE,['Amazon Prime Video'],Kaneesha Heath,['Drama'],0,"['Nicole C. Barnes', 'Anthony J. James', 'Aminah Muhammad']",,0,FALSE,FALSE,2021,6,TRUE,FALSE,0.3722,0,0,0,0,0,0,0,136,1,27.2,0.2,FALSE
829358,Queen of Spades,2021-06-11,4.2489,6,85,FALSE,['Amazon Prime Video'],Patrick White,['Horror'],0,"['Ava Preston', 'Kaelen Ohm', 'Jamie Bloch']",91,4,FALSE,FALSE,2021,6,TRUE,FALSE,1.551,0.2062,17,0,4.454347296,0,0,0,187764,565,37552.8,113,FALSE
894844,Jekyll and Hyde,2021-12-27,3.1575,5.3,13,FALSE,['Amazon Prime Video'],Steve Lawson,['Horror'],0,"['Michael McKell', 'Tom Hendryk', 'Helen Crevel']",85,2,FALSE,FALSE,2021,12,FALSE,TRUE,0.4916,1.1931,2.6,0,2.63905733,0,0,0,566181,3803,113236.2,760.6,FALSE
813935,Not to Forget,2021-11-26,4.1255,6.7,9,TRUE,['Amazon Prime Video'],Valerio Zanoli,['Drama'],0,"['Karen Grassle', 'Louis Gossett Jr.', ""Tatum O'Neal""]",81,0,FALSE,FALSE,2021,11,FALSE,TRUE,1.3116,0.2111,1.8,0,2.302585093,0,0,0,203792,6470,40758.4,1294,FALSE
802226,Bingo Hell,2021-10-01,3.9025,4.7,132,FALSE,['Amazon Prime Video'],Gigi Saul Guerrero,"['Thriller', 'Horror']",0,"['Adriana Barraza', 'L. Scott Caldwell', 'Joshua Caleb Johnson']",85,3,FALSE,FALSE,2021,10,FALSE,FALSE,1.2665,0.5474,26.4,0,4.890349128,100,430,0,231624,1292,46324.8,258.4,TRUE
850818,"Barbie: Big City, Big Dreams",2021-08-20,4.4857,7,184,FALSE,['Netflix'],Scott Pleydell-Pearce,"['Animation', 'Music', 'Family']",0,"['America Young', 'Amber Eliese May', 'Giselle Fernández']",62,3,FALSE,FALSE,2021,8,TRUE,FALSE,0.8126,0.0071,36.8,0,5.220355825,0,0,0,1557722,6525,311544.4,1305,FALSE
636838,"Stallone: Frank, That Is",2021-01-19,3.1629,5.9,7,TRUE,['Amazon Prime Video'],Derek Wayne Johnson,['Documentary'],0,"['Frank Stallone Jr.', 'Sylvester Stallone', 'Arnold Schwarzenegger']",73,2,FALSE,FALSE,2021,1,FALSE,FALSE,9.098,0.1122,1.4,0,2.079441542,0,0,0,171791,1803,34358.2,360.6,FALSE
795635,Love Stories in Sunflower Valley,2021-08-15,3.4488,6.2,26,FALSE,['Amazon Prime Video'],Robert H. Lieberman,"['TV Movie', 'Romance', 'Comedy']",0,"['Erin Cahill', 'Marcus Rosner', 'Brent Stait']",85,2,FALSE,FALSE,2021,8,TRUE,FALSE,2.7923,0.2819,5.2,0,3.295836866,100,100,0,29456,200,5891.2,40,FALSE
673309,American Underdog,2021-12-25,4.9645,7.1,396,TRUE,['Hulu'],Andrew Erwin,"['Drama', 'Family']",25000000,"['Zachary Levi', 'Anna Paquin', 'Hayden Zaller']",112,3,FALSE,FALSE,2021,12,FALSE,TRUE,2.5426,0,79.2,17.03438642,5.983936281,100,948,0.25,2002786,8476,400557.2,1695.2,TRUE
789708,Hilda and the Mountain King,2021-12-30,4.0493,7.565,176,FALSE,['Netflix'],Andy Coyle,"['Animation', 'Adventure', 'Fantasy', 'Family', 'TV Movie']",0,"['Bella Ramsey', 'Ameerah Falzon-Ojo', 'Oliver Nelson']",84,2,FALSE,FALSE,2021,12,FALSE,TRUE,3.163,0.2445,35.2,0,5.176149733,100,157,0,341404,4181,68280.8,836.2,FALSE
876987,Christmas vs The Walters,2021-11-05,3.2064,5,8,TRUE,['Amazon Prime Video'],Peter A. D’Amato,"['Comedy', 'Drama']",0,"['Shawnee Smith', 'Dean Winters', 'Caroline Aaron']",101,5,FALSE,FALSE,2021,11,FALSE,TRUE,2.3318,0.0168,1.6,0,2.197224577,0,0,0,327446,157,65489.2,31.4,FALSE
482321,Ron's Gone Wrong,2021-10-22,3.5132,7.868,1959,TRUE,['Disney Plus'],Sarah Smith,"['Animation', 'Science Fiction', 'Family', 'Comedy']",0,"['Zach Galifianakis', 'Jack Dylan Grazer', 'Ed Helms']",107,3,FALSE,FALSE,2021,10,FALSE,FALSE,4.2518,0.1579,391.8,0,7.580699752,100,953,0.15,3392650,29089,678530,5817.8,TRUE
882224,Christmas with a Prince: The Royal Baby,2021-11-07,3.2287,6.9,26,FALSE,['Amazon Prime Video'],Marco Deufemia,"['TV Movie', 'Romance']",0,"['Kaitlyn Leeb', 'Nick Hounslow', 'Josh Dean']",87,1,FALSE,TRUE,2021,11,FALSE,TRUE,2.5127,0.5859,5.2,0,3.295836866,0,0,0,578675,4492,115735,898.4,FALSE
822618,Eye Without a Face,2021-08-10,4.4141,3.9,18,FALSE,['Amazon Prime Video'],Ramin Niami,"['Horror', 'Thriller']",0,"['Dakota Shapiro', 'Luke Cook', 'Vlada Verevko']",94,1,FALSE,FALSE,2021,8,TRUE,FALSE,0.9022,0.3594,3.6,0,2.944438979,0,0,0,88621,1385,17724.2,277,FALSE
795778,Night Raiders,2021-11-12,5.5077,4.8,49,FALSE,"['Netflix', 'Amazon Prime Video']",Danis Goulet,['Science Fiction'],0,"['Elle-Máijá Tailfeathers', 'Brooklyn Letexier-Hart', 'Alex Tarrant']",101,4,FALSE,FALSE,2021,11,FALSE,TRUE,0.6606,0.1445,9.8,0,3.912023005,0,0,0,489947,2442,97989.4,488.4,FALSE
762893,Some of Our Stallions,2021-07-01,4.2698,2.7,3,FALSE,['Amazon Prime Video'],Carson D. Mell,"['Comedy', 'Drama']",0,"['Carson D. Mell', 'Olivia Taylor Dudley', 'David Zellner']",89,0,FALSE,FALSE,2021,7,TRUE,FALSE,1.0238,0.2434,0.6,0,1.386294361,0,0,0,4651,53,930.2,10.6,FALSE
647581,Heart of Champions,2021-10-29,4.2987,6.6,79,FALSE,['Netflix'],Michael Mailer,['Drama'],32000,"['Michael Shannon', 'Alexander Ludwig', 'Charles Melton']",119,6,FALSE,FALSE,2021,10,FALSE,FALSE,3.432,0.1946,15.8,10.37352243,4.382026635,100,424,0,268996,688,53799.2,137.6,TRUE
597208,Nightmare Alley,2021-12-17,4.3904,6.965,3216,TRUE,['Hulu'],Guillermo del Toro,"['Crime', 'Drama', 'Thriller']",60000000,"['Bradley Cooper', 'Cate Blanchett', 'Toni Collette']",151,2,FALSE,FALSE,2021,12,FALSE,TRUE,4.4349,4.3319,643.2,17.90985514,8.076204527,100,1334,0.18,16774702,25448,3354940.4,5089.6,TRUE
839440,Dinosaur Hotel,2021-06-11,4.7971,5.1,81,FALSE,['Amazon Prime Video'],Jack Peter Mundy,"['Horror', 'Science Fiction', 'Mystery']",0,"['Chelsea Greenwood', 'Aimee Marie Higham', 'Alexander John']",80,2,FALSE,TRUE,2021,6,TRUE,FALSE,0.2739,0.1048,16.2,0,4.406719247,100,257,0,85937,0,17187.4,0,TRUE
800841,"Me, Myself & Di",2021-06-04,5.0676,5.8,5,FALSE,['Amazon Prime Video'],Chris Green,"['Comedy', 'Romance']",0,"['Katy Clayton', 'Lucy Pinder', 'James Lance']",93,3,FALSE,FALSE,2021,6,TRUE,FALSE,1.4958,0.0546,1,0,1.791759469,100,100,0,652640,3438,130528,687.6,FALSE
784047,Creating The Queen's Gambit,2021-01-10,3.1392,7.87,135,FALSE,['Netflix'],,['Documentary'],0,"['Anya Taylor-Joy', 'Scott Frank', 'Bruce Pandolfini']",14,0,FALSE,FALSE,2021,1,FALSE,FALSE,8.7648,0,27,0,4.912654886,0,0,0,1421232,11881,284246.4,2376.2,FALSE
888231,Time Now,2021-10-23,4.5685,2.9,7,FALSE,['Amazon Prime Video'],Spencer King,"['Thriller', 'Drama']",0,"['Eleanor Lambert', 'Claudia Black', 'Xxavier Polk']",90,1,FALSE,FALSE,2021,10,FALSE,FALSE,3.2156,0,1.4,0,2.079441542,100,1440,0.56,64546,158,12909.2,31.6,TRUE
776142,"Crack: Cocaine, Corruption & Conspiracy",2021-01-11,4.4964,6.8,85,FALSE,['Netflix'],Stanley Nelson,['Documentary'],0,"['Carl Hart', 'Koe Rodriguez', 'Nelson George']",89,1,FALSE,FALSE,2021,1,FALSE,FALSE,0.4698,0.4227,17,0,4.454347296,0,0,0,536809,5592,107361.8,1118.4,FALSE
733209,Man of God,2021-08-26,4.1359,7,41,FALSE,['Amazon Prime Video'],Yelena Popovic,"['History', 'Drama']",0,"['Aris Servetalis', 'Mickey Rourke', 'Alexander Petrov']",109,5,FALSE,FALSE,2021,8,TRUE,FALSE,3.4532,0.3653,8.2,0,3.737669618,0,0,0,68390,742,13678,148.4,FALSE
818336,American Eid,2021-05-28,4.7086,7.1,15,FALSE,['Disney Plus'],Aqsa Altaf,['Drama'],0,"['Shanessa Khawaja', 'Jenna Qureshi', 'Cash Herrera']",21,1,TRUE,FALSE,2021,5,TRUE,FALSE,0.5325,0.1668,3,0,2.772588722,0,0,0,889751,40181,177950.2,8036.2,FALSE
790646,The Toll,2022-03-18,5.2305,5.5,42,FALSE,['Amazon Prime Video'],Ryan Andrew Hooper,"['Comedy', 'Thriller', 'Crime']",0,"['Michael Smiley', 'Annes Elwy', 'Gary Beadle']",83,5,FALSE,FALSE,2022,3,FALSE,FALSE,1.1146,0.0557,10.5,0,3.761200116,100,272,0,249253,607,62313.25,151.75,TRUE
565470,Roe v. Wade,2021-04-02,4.0899,5.5,42,TRUE,['Amazon Prime Video'],Cathy Allyn,"['Drama', 'History']",6750000,"['Jon Voight', 'Nick Loeb', 'Robert Davi']",112,2,FALSE,FALSE,2021,4,FALSE,FALSE,2.9666,0.1948,8.4,15.72505321,3.761200116,100,100,0,217317,1394,43463.4,278.8,FALSE
795518,Broadcast Signal Intrusion,2021-10-22,4.3826,5.554,92,FALSE,['Amazon Prime Video'],Jacob Gentry,"['Horror', 'Mystery', 'Thriller']",0,"['Harry Shum Jr.', 'Kelley Mack', 'Chris Sullivan']",104,2,FALSE,FALSE,2021,10,FALSE,FALSE,3.0309,0.0718,18.4,0,4.532599493,0,0,0,196238,2419,39247.6,483.8,FALSE
795514,The Fallout,2021-03-17,4.8771,7.524,1256,FALSE,['HBO Max'],Megan Park,['Drama'],0,"['Jenna Ortega', 'Maddie Ziegler', 'Niles Fitch']",96,2,FALSE,FALSE,2021,3,FALSE,FALSE,14.3835,1.2262,251.2,0,7.136483209,0,0,0,7221415,107657,1444283,21531.4,TRUE
776527,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",2021-07-02,3.6625,7.633,214,TRUE,"['Disney Plus', 'Amazon Prime Video', 'Hulu']",Questlove,"['Music', 'Documentary', 'History']",0,"['Stevie Wonder', 'Lin-Manuel Miranda', 'Chris Rock']",117,4,FALSE,FALSE,2021,7,TRUE,FALSE,2.3878,0.4436,42.8,0,5.370638028,0,0,0,32604,417,6520.8,83.4,FALSE
567189,Tom Clancy's Without Remorse,2021-04-29,3.9733,6.952,2589,FALSE,['Amazon Prime Video'],Stefano Sollima,"['Action', 'Thriller', 'War']",0,"['Michael B. Jordan', 'Jamie Bell', 'Guy Pearce']",110,6,TRUE,FALSE,2021,4,FALSE,FALSE,3.5781,0.7818,517.8,0,7.859413155,0,0,0,11173636,44602,2234727.2,8920.4,TRUE
796595,Sometime Other Than Now,2021-03-03,3.6611,5.5,14,TRUE,['Amazon Prime Video'],Dylan McCormick,['Drama'],0,"['Donal Logue', 'Kate Walsh', 'Amy Hargreaves']",89,0,FALSE,FALSE,2021,3,FALSE,FALSE,2.8602,0.0952,2.8,0,2.708050201,0,0,0,40074,190,8014.8,38,FALSE
1024224,Hearts & Vines,2021-11-01,3.9489,2,1,FALSE,['Amazon Prime Video'],Candice T. Cain,"['Romance', 'Drama']",0,"['Taryn Hacker', 'Cara Maria Sorbello', 'Kenney Myers']",86,4,FALSE,FALSE,2021,11,FALSE,TRUE,0.1199,0.6699,0.2,0,0.6931471806,0,0,0,89043,600,17808.6,120,FALSE
